feature,value,precision,recall,sample_e
Male,0,1.0,0.98,0.05
Male,1,1.0,0.97,0.05
Young,0,0.6666666666666666,0.76,0.07
Young,1,0.95,0.9,0.08
Pale_Skin,0,0.9833333333333333,0.4,0.03
Pale_Skin,1,0.1,0.84,0.12
Wearing_Hat,0,1.0,0.96,0.05
Wearing_Hat,1,0.6,0.8,0.55
Goatee,0,1.0,0.86,0.06
Goatee,1,0.31666666666666665,0.84,0.1
Beard,0,0.8166666666666667,0.85,0.04
Beard,1,0.3333333333333333,0.27,0.04
Smiling,0,0.8333333333333334,0.82,0.08
Smiling,1,0.8166666666666667,0.81,0.04
Bald,0,1.0,0.94,0.05
Bald,1,0.18333333333333332,0.56,0.07
Eyeglasses,0,0.9833333333333333,0.92,0.07
Eyeglasses,1,0.4666666666666667,0.69,0.1
